year,dr
2005,0.0085927000574653
2006,0.00860043669184809
2007,0.008782238995886739
2008,0.009045788236967424
2009,0.00903833896764261
2010,0.009474061264176674
2011,0.009924971514459782
2012,0.009963695885950488
2013,0.01007504374245295
2014,0.010128469861860183
2015,0.010289340512692192
