year,percent_nuclear
2005,0.27484285237592776
2006,0.2726998204325795
2007,0.23105661864518107
2008,0.23291573501094526
2009,0.256541016905632
2010,0.2461678002985819
2011,0.0916176441460178
2012,0.014504596898879145
2013,0.008424763115803813
2014,0
2015,0.008914503141849894
