year,total_energy,area,month
2014,553173,okinawa,05
2014,2688376,hokkaido,04
2014,6326549,tohoku,04
2014,20669239,tokyo,04
2014,9952095,chubu,04
2014,2205739,hokuriku,04
2014,10825701,kansai,04
2014,4675421,chugoku,04
2014,2060144,shikoku,04
2014,6536317,kyushu,04
2014,527476,okinawa,04
2014,2787649,hokkaido,03
2014,7164107,tohoku,03
2014,23068148,tokyo,03
2014,10870778,chubu,03
2014,2538596,hokuriku,03
2014,11756977,kansai,03
2014,5045089,chugoku,03
2014,2300002,shikoku,03
2014,6978810,kyushu,03
2014,507597,okinawa,03
2014,3028730,hokkaido,02
2014,7386428,tohoku,02
2014,24365659,tokyo,02
2014,11311923,chubu,02
2014,2564673,hokuriku,02
2014,12336540,kansai,02
2014,5341871,chugoku,02
2014,2362245,shikoku,02
2014,7239590,kyushu,02
2014,513442,okinawa,02
2014,3160828,hokkaido,01
2014,7750548,tohoku,01
2014,24726045,tokyo,01
2014,11833218,chubu,01
2014,2813962,hokuriku,01
2014,13317845,kansai,01
2014,5598893,chugoku,01
2014,2608143,shikoku,01
2014,8014379,kyushu,01
2014,592670,okinawa,01
2013,2492999,hokkaido,12
2013,6493273,tohoku,12
2013,21548922,tokyo,12
2013,10205453,chubu,12
2013,2438768,hokuriku,12
2013,11141522,kansai,12
2013,4929892,chugoku,12
2013,2225538,shikoku,12
2013,6746117,kyushu,12
2013,545200,okinawa,12
2013,2488017,hokkaido,11
2013,6014943,tohoku,11
2013,20520789,tokyo,11
2013,9899621,chubu,11
2013,2150697,hokuriku,11
2013,10780124,kansai,11
2013,4491165,chugoku,11
2013,2008497,shikoku,11
2013,6406775,kyushu,11
2013,611157,okinawa,11
2013,2254767,hokkaido,10
2013,5941164,tohoku,10
2013,20783728,tokyo,10
2013,10157957,chubu,10
2013,2130237,hokuriku,10
2013,10934898,kansai,10
2013,4557149,chugoku,10
2013,2123497,shikoku,10
2013,6775212,kyushu,10
2013,701794,okinawa,10
2013,2391753,hokkaido,09
2013,6145467,tohoku,09
2013,24065669,tokyo,09
2013,11329398,chubu,09
2013,2217102,hokuriku,09
2013,12371084,kansai,09
2013,5088250,chugoku,09
2013,2300609,shikoku,09
2013,7627440,kyushu,09
2013,797167,okinawa,09
2013,2393349,hokkaido,08
2013,6304643,tohoku,08
2013,24988048,tokyo,08
2013,11623317,chubu,08
2013,2398315,hokuriku,08
2013,13612728,kansai,08
2013,5518888,chugoku,08
2013,2599978,shikoku,08
2013,8275147,kyushu,08
2013,818186,okinawa,08
2013,2208207,hokkaido,07
2013,6075726,tohoku,07
2013,22211398,tokyo,07
2013,10575742,chubu,07
2013,2351174,hokuriku,07
2013,11729778,kansai,07
2013,4819177,chugoku,07
2013,2359966,shikoku,07
2013,7144306,kyushu,07
2013,729647,okinawa,07
2013,2168911,hokkaido,06
2013,5755087,tohoku,06
2013,19804357,tokyo,06
2013,9754020,chubu,06
2013,2118971,hokuriku,06
2013,10520679,kansai,06
2013,4518184,chugoku,06
2013,2106428,shikoku,06
2013,6461241,kyushu,06
2013,658502,okinawa,06
2013,2565887,hokkaido,05
2013,6172286,tohoku,05
2013,19951084,tokyo,05
2013,9764760,chubu,05
2013,2152733,hokuriku,05
2013,11024142,kansai,05
2013,4471003,chugoku,05
2013,2108730,shikoku,05
2013,6329293,kyushu,05
2013,544758,okinawa,05
2013,2694753,hokkaido,04
2013,6248294,tohoku,04
2013,20658235,tokyo,04
2013,9743507,chubu,04
2013,2202948,hokuriku,04
2013,10887543,kansai,04
2013,4600410,chugoku,04
2013,2110416,shikoku,04
2013,6451489,kyushu,04
2013,535622,okinawa,04
2013,2845081,hokkaido,03
2013,7081282,tohoku,03
2013,22202396,tokyo,03
2013,10625766,chubu,03
2013,2454118,hokuriku,03
2013,11770333,kansai,03
2013,4874895,chugoku,03
2013,2279558,shikoku,03
2013,6841314,kyushu,03
2013,496521,okinawa,03
2013,3016777,hokkaido,02
2013,7169573,tohoku,02
2013,24659461,tokyo,02
2013,11170784,chubu,02
2013,2574013,hokuriku,02
2013,12275895,kansai,02
2013,5165564,chugoku,02
2013,2366453,shikoku,02
2013,7210917,kyushu,02
2013,510768,okinawa,02
2013,3277680,hokkaido,01
2013,7820257,tohoku,01
2013,24557293,tokyo,01
2013,11437517,chubu,01
2013,2743568,hokuriku,01
2013,13299971,kansai,01
2013,5562155,chugoku,01
2013,2646556,shikoku,01
2013,7902298,kyushu,01
2013,562716,okinawa,01
2012,2638161,hokkaido,12
2012,6728051,tohoku,12
2012,22730922,tokyo,12
