nuclear,total,area_id,year,month
404868,2526170,5,2009,8
6391915,14412965,6,2009,8
609718,5758228,7,2009,8
1525218,2855463,8,2009,8
3926776,8846648,9,2009,8
0,919547,10,2009,8
852615,2677364,1,2009,9
1336447,6646776,2,2009,9
7317716,24048573,3,2009,9
348826,11071038,4,2009,9
392696,2364561,5,2009,9
5752373,12510565,6,2009,9
783221,5198200,7,2009,9
1469870,2518777,8,2009,9
2742027,7682078,9,2009,9
0,838368,10,2009,9
913523,2823470,1,2009,10
1648357,6907219,2,2009,10
6531315,23847889,3,2009,10
1581141,10576446,4,2009,10
583662,2360658,5,2009,10
5369091,11989206,6,2009,10
958962,5042982,7,2009,10
1515138,2419894,8,2009,10
2681495,7060742,9,2009,10
0,727453,10,2009,10
1120824,2978874,1,2009,11
1596854,7072745,2,2009,11
7683372,24368116,3,2009,11
1620294,10666699,4,2009,11
756132,2443829,5,2009,11
4055171,12110024,6,2009,11
931183,5159613,7,2009,11
1476742,2420054,8,2009,11
3166439,7174401,9,2009,11
0,636417,10,2009,11
1582836,3414873,1,2009,12
2278711,8052644,2,2009,12
8687084,26968064,3,2009,12
1675850,11825680,4,2009,12
409833,2782792,5,2009,12
4981111,13610819,6,2009,12
963567,5838123,7,2009,12
1533196,2760819,8,2009,12
3855193,8143775,9,2009,12
0,623191,10,2009,12
1282377,3488821,1,2010,1
2469976,8420791,2,2010,1
8006367,27794111,3,2010,1
1677858,12345364,4,2010,1
420795,2923149,5,2010,1
5368092,14276850,6,2010,1
966635,6037871,7,2010,1
987388,2857741,8,2010,1
3383515,8486164,9,2010,1
0,623986,10,2010,1
1031460,3221800,1,2010,2
2153199,7712031,2,2010,2
7245309,26181431,3,2010,2
1515593,11433616,4,2010,2
1171211,2723023,5,2010,2
4364627,12822779,6,2010,2
872646,5428490,7,2010,2
773015,2553515,8,2010,2
2996701,7324853,9,2010,2
0,574452,10,2010,2
1311007,3327624,1,2010,3
2075493,8031598,2,2010,3
7471710,26937394,3,2010,3
1678072,11932094,4,2010,3
1307474,2842807,5,2010,3
4406574,13551377,6,2010,3
680386,5706061,7,2010,3
1447253,2683508,8,2010,3
3317550,7718528,9,2010,3
0,618582,10,2010,3
1505787,2907636,1,2010,4
2009242,7208902,2,2010,4
7095306,24550371,3,2010,4
