year,total
2005,126129841.92999998
2006,126092548.41999999
2007,126201747.70000003
2008,126291583.45
2009,126335707.71
2010,126346448.12000002
2011,126254065.13
2012,126093667.89
2013,125898980.93
2014,125687786.74
2015,125422031.51000004
